zipcode,streetAddress,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,flooring,heating,cooling,fireplaceFeatures,taxAssessedValue,zestimate,rentZestimate,sold-history,price,parkingCapacity,hasCooling,hasHeating,hasFireplace,hasPrivatePool,hasSpa,hasView
91356,18555 Collins St APT C11,CONDO,1964,24000.712602,90.952037,2,2.0,3.0,[],['Central'],['Central'],0,408000.0,478700.0,2500.0,"[('2021-09-23', 400000), ('2021-06-25', 374000), ('2004-08-25', 285000), ('1996-04-16', 55000), ('1995-06-07', 49830)]",2500,1,1,1,0,0,0,1
91335,7317 White Oak Ave,SINGLE_FAMILY,1951,22257730.0,47.566336,2,1.0,3.0,[],[],[],0,61988.4,542000.0,2500.0,[],2500,0,0,0,0,0,0,0
90013,312 W 5th St APT 208,CONDO,1923,2534.861687327824,68.74822,1,1.0,11.0,[],[],"['Electric', 'Wall']",0,406980.0,483600.0,1963.0,"[('2022-04-01', 399000), ('2020-04-30', 395000)]",2700,1,1,0,0,0,0,1
91364,5303 Lubao Ave,SINGLE_FAMILY,1953,1495.8331694214876,154.404786,3,3.0,1.0,[],"['Other', 'Gas']",['Central'],0,711131.0,1345600.0,5800.0,"[('1999-07-30', 410000)]",5500,2,1,1,1,0,1,0
91325,9035 Rathburn Ave,SINGLE_FAMILY,1953,752.421397,181.996977,4,2.0,1.0,"['Carpet', 'Tile', 'Wood']",['Central'],['Central'],1,817813.0,1090600.0,4498.0,"[('2020-03-09', 778000), ('2018-10-11', 303000), ('2001-08-30', 250000), ('1994-05-20', 140000), ('1994-02-04', 74485)]",4200,7,1,1,1,0,0,1
91352,11243 Valerio St,SINGLE_FAMILY,1951,624.429677124,170.291199,4,2.0,1.0,"['Wood', 'Other', 'Tile']",['Central'],['Central'],1,550716.0,876200.0,3866.0,"[('2023-09-13', 837000), ('2014-04-09', 345000)]",3800,3,1,1,1,0,0,1
90293,6304 Vista Del Mar,TOWNHOUSE,1964,222.9672,185.806,3,2.5,1.2,['Wood'],"['Forced Air', 'Wall', 'Gas']",['None'],0,1260732.0,2071600.0,7275.0,"[('2013-08-22', 1070000), ('2011-09-20', 998800), ('2003-01-30', 995000), ('1997-05-15', 506000)]",5100,2,0,1,0,0,0,1
91335,18909 Adolfo Ave,SINGLE_FAMILY,2007,526.016786,268.582573,4,4.0,1.0,['Wood'],"['None', 'Other']",['Central'],0,892410.0,1277400.0,6499.0,"[('2017-05-02', 800000), ('2010-06-30', 695000)]",5000,2,1,1,1,0,0,0
91423,13921 Hesby St,SINGLE_FAMILY,1948,561.227023,196.489845,4,2.0,1.0,['Wood'],['Forced Air'],['Other'],0,308630.0,1053800.0,6038.0,"[('2023-02-06', 5200), ('2020-09-25', 5200), ('1994-12-14', 185000), ('1994-06-06', 299126)]",5500,2,1,1,0,0,0,0
91402,13863 Burton St,SINGLE_FAMILY,1950,546.641252,240.061352,5,3.0,1.0,[],['Wall'],[],0,405253.0,914900.0,6556.0,"[('1999-12-01', 168000), ('1999-06-15', 137000)]",7000,1,0,1,0,0,0,0
90019,1502 Crenshaw Blvd,TOWNHOUSE,2023,659.6113,148.6448,5,4.0,1.2,[],"['Wall', 'Gas']",['Wall'],0,1377000.0,1692200.0,4773.0,"[('2022-01-14', 1350000), ('2021-02-26', 950000), ('2003-05-21', 500000), ('1999-08-02', 210000)]",4900,2,1,1,0,0,0,1
90064,2327 Selby Ave,SINGLE_FAMILY,1929,627.09525,155.240913,3,1.75,1.2,[],['Other'],['Central'],0,1273604.0,1496000.0,3499.0,"[('2011-08-24', 875000)]",3650,1,1,1,0,0,0,0
90039,2341 Teviot St,SINGLE_FAMILY,1957,728.35952,106.281032,3,1.0,1.0,"['Tile', 'Laminate']","['Forced Air', 'Electric', 'Gas']",['Other'],0,1219365.0,1051900.0,4023.0,"[('2021-11-30', 3500), ('2020-01-07', 1160000), ('2018-04-17', 3500)]",4500,0,1,1,0,0,0,0
91343,16050 Knapp St,SINGLE_FAMILY,1958,704.111837,157.563488,3,2.0,1.0,['Wood'],"['Forced Air', 'Other']",['Other'],0,539692.0,955700.0,4140.0,"[('2010-02-12', 435000), ('1997-11-25', 172000)]",4000,2,1,1,1,0,0,1
90068,3370 Troy Dr,SINGLE_FAMILY,1955,421.036396,232.2575,3,2.5,1.0,"['Tile', 'Carpet', 'Wood']",['Forced Air'],['Central'],0,1060427.0,1540300.0,7767.0,"[('2018-09-13', 4995), ('2014-01-07', 929000), ('2013-08-08', 900000)]",5800,2,1,1,1,0,0,0
91307,22825 Runnymede St,SINGLE_FAMILY,1959,724.736303,134.70935,3,2.0,1.0,['Wood'],['Forced Air'],['Other'],0,648680.0,963300.0,3990.0,"[('2019-01-24', 605000)]",4000,1,1,1,0,0,0,0
90065,3939 Ackerman Dr,SINGLE_FAMILY,1978,483.188503,145.486098,3,3.0,1.0,['Carpet'],['Other'],['Central'],0,803768.0,1176000.0,4800.0,"[('2016-03-31', 654500)]",4350,2,1,1,1,0,0,0
91504,7941 Via Latina,CONDO,1978,32484.505684113865,148.830606,3,2.0,3.0,[],['Other'],['Central'],0,533489.0,850100.0,4496.0,"[('2009-11-06', 430000)]",4150,0,1,1,0,0,0,0
91605,7940 Atoll Ave,SINGLE_FAMILY,1954,1876.9217764003672,323.395343,5,3.0,1.0,[],['Forced Air'],['Central'],1,1222518.0,1483200.0,5950.0,"[('2020-02-07', 770000)]",6500,1,1,1,1,0,0,0
90025,1813 Thayer Ave UNIT E,APARTMENT,2008,533.913541,173.72861,3,2.5,1.0,['Wood'],['Forced Air'],['Other'],0,1156537.0,1395800.0,5622.0,[],5600,0,1,1,0,0,0,0
91342,10410 Jimenez St,SINGLE_FAMILY,1958,1304.4527378328742,165.646049,4,3.0,3.0,['Wood'],['Forced Air'],['Other'],0,329972.0,863700.0,4626.0,"[('2023-04-19', 4300), ('1999-05-27', 219000), ('1994-03-24', 179000)]",4300,1,1,1,0,0,0,0
91311,10451 Larwin Ave UNIT 3,TOWNHOUSE,1972,5278.1979807162525,198.626614,4,3.0,1.0,"['Tile', 'Carpet', 'Wood']",['Forced Air'],['Central'],0,568692.0,880300.0,4250.0,"[('2017-09-11', 520000), ('2002-07-26', 300000)]",3700,0,1,1,0,0,0,0
91367,23116 Leonora Dr,SINGLE_FAMILY,1954,557.603806,122.63195999999999,3,2.0,1.0,"['Tile', 'Wood']",['Forced Air'],['Central'],0,809403.0,1047000.0,4776.0,"[('2020-04-09', 770000), ('2008-07-28', 425000), ('2008-03-05', 558000), ('2003-04-02', 395000), ('1997-05-06', 162500)]",3995,1,1,1,1,0,0,0
91607,5849 Goodland Ave,SINGLE_FAMILY,1953,636.165555696,195.09629999999999,3,3.0,1.0,"['Tile', 'Wood']",['Central'],['Central'],1,784359.0,1367400.0,5899.0,"[('2023-12-08', 1310000), ('2019-10-18', 4500), ('2014-09-17', 679000)]",6500,4,1,1,1,0,0,1
91345,14377 Germain St,SINGLE_FAMILY,1955,30351450.0,164.066698,3,2.0,1.0,['Wood'],['Forced Air'],['Other'],0,856800.0,920800.0,3999.0,"[('2022-02-15', 840000), ('2010-12-01', 339500), ('1998-04-28', 127000), ('1994-08-12', 170000)]",4000,1,1,1,0,0,0,0
91343,14875 Novice St,SINGLE_FAMILY,1957,1096.2568411386594,147.529964,4,2.0,1.0,"['Carpet', 'Wood']","['Forced Air', 'Gas']",[],1,609681.0,910800.0,4354.0,"[('2019-09-30', 580000), ('2003-12-10', 386000), ('1999-11-30', 199000), ('1997-01-29', 173000)]",4550,1,0,1,0,0,0,0
90042,742 Onarga Ave,SINGLE_FAMILY,1954,446.306012,160.536384,4,2.0,1.0,[],['Wall'],[],0,930290.0,1355800.0,5500.0,"[('2019-11-08', 885000), ('2018-12-19', 740000), ('1998-09-23', 135000), ('1997-06-25', 130000)]",5000,0,0,1,0,0,0,0
90016,2018 Hillcrest Dr,CONDO,2015,613.1598,204.3866,4,3.5,1.4,"['Tile', 'Wood']","['Forced Air', 'Other']",['Central'],0,864325.0,1118800.0,5558.0,"[('2013-05-16', 273000)]",5700,2,1,1,0,0,0,0
91606,6545 Coldwater Canyon Ave,SINGLE_FAMILY,1947,591.6501542159999,171.034423,3,2.0,1.0,"['Carpet', 'Tile', 'Wood', 'Mixed']",['Wall'],['None'],1,295735.0,784600.0,4229.0,"[('2023-07-31', 750000), ('2000-05-12', 200200)]",5000,3,0,1,1,1,0,1
91343,9540 Debra Ave,SINGLE_FAMILY,1962,841.979889,140.097724,4,3.0,1.0,[],['Central'],['Central'],1,738683.0,987700.0,4740.0,"[('2021-02-17', 710000), ('2003-04-16', 333500)]",6500,2,1,1,1,1,0,1
91311,10244 Cozycroft Ave,SINGLE_FAMILY,1969,826.650894,218.414953,4,3.0,1.0,[],['Other'],['Central'],0,448961.0,1034200.0,4997.0,"[('2000-07-12', 310000)]",4995,1,1,1,0,0,0,0
90045,6531 W 85th St,SINGLE_FAMILY,1943,565.593464,116.12875,2,1.0,1.0,[],"['Forced Air', 'Gas']",['Central'],0,292819.0,1001600.0,4068.0,[],4900,2,1,1,1,0,0,0
91601,5706 Fair Ave APT 200,CONDO,1981,83.6127,83.6127,2,1.0,3.0,['Laminate'],"['Forced Air', 'Gas']",['Central'],0,443210.0,453800.0,2800.0,"[('2020-10-26', 426000), ('2005-12-20', 345000), ('2000-08-25', 90000), ('1999-10-01', 68000)]",55000,2,1,1,1,0,0,1
90272,434 Wynola St,SINGLE_FAMILY,1947,702.253777,233.000724,4,3.0,1.0,[],['Other'],[],0,193168.0,2513900.0,12995.0,[],9500,1,0,1,0,0,0,0
91607,12527 Emelita St,SINGLE_FAMILY,1947,733.9337,215.813669,4,4.0,1.0,['Wood'],['Central'],['Central'],1,1601400.0,1703100.0,6994.0,"[('2022-01-21', 1575000), ('2017-05-05', 945000), ('2015-04-16', 650000), ('2008-08-21', 465000), ('2007-10-19', 550000), ('2006-11-16', 900000), ('1995-03-24', 230000)]",7499,2,1,1,1,1,0,1
91607,12024 Califa St,SINGLE_FAMILY,1943,947.703503,170.94152,4,3.0,1.0,['Wood'],"['None', 'Forced Air']",['Other'],0,615007.0,1273600.0,6147.0,[],50527,2,1,1,1,0,1,0
91356,18307 Burbank Blvd UNIT 7,CONDO,1970,21883.14461157025,65.682421,1,1.0,3.4,[],['Other'],['Central'],0,252296.0,331600.0,1998.0,"[('2021-06-01', 242500), ('1999-11-04', 60000)]",8810,0,1,1,0,0,0,0
90005,620 S Gramercy Pl APT 135,CONDO,1990,4782.188211662075,87.51462599999999,2,2.0,3.0,[],['Other'],['Central'],0,628000.0,671000.0,2796.0,"[('2005-12-01', 502000)]",60000,0,1,1,0,0,0,0
90047,1726 W 70th St,SINGLE_FAMILY,1925,488.298168,74.3224,2,1.0,1.0,"['Carpet', 'Vinyl']",['Central'],['Central'],0,557653.0,613600.0,2673.0,"[('2020-12-21', 536000)]",50000,1,1,1,0,0,0,1
90210,10100 Angelo Cir,SINGLE_FAMILY,2009,1041.815611570248,596.901775,5,7.0,1.0,['Tile'],"['None', 'Other']",['Central'],0,6914195.0,37000.0,35850.0,"[('2022-08-16', 17500), ('2018-05-23', 35000), ('2016-02-28', 30000), ('2014-11-02', 30000), ('2013-12-27', 5825058), ('2003-04-21', 1030000)]",36000,7,1,1,1,0,0,1
90046,839 N Gardner St,SINGLE_FAMILY,2017,604.148209,472.225949,5,6.0,2.6,"['Tile', 'Wood']","['Forced Air', 'Other', 'Gas']",['Central'],0,3679121.0,4312600.0,16437.0,"[('2019-10-09', 3500000), ('2017-09-06', 3395000), ('2016-04-15', 1375000), ('2011-02-28', 1029000), ('2008-05-20', 865000), ('2006-07-14', 1095000), ('1999-07-02', 360000)]",25500,1,1,1,1,0,1,1
90013,460 S Spring St APT 510,CONDO,1912,2860.2084210284665,75.25143,1,1.0,3.2,"['Tile', 'Wood']","['None', 'Other']",['Central'],0,140000.0,500200.0,2500.0,"[('2016-12-29', 545000), ('2012-05-15', 320000), ('2009-05-29', 299000)]",20000,1,1,1,0,0,0,0
90210,1957 Coldwater Canyon Dr,SINGLE_FAMILY,1956,983.749867,344.391421,4,5.0,1.0,"['Tile', 'Wood']","['None', 'Forced Air']",['Central'],0,4039288.0,,17129.0,"[('2015-11-16', 3550000), ('2007-04-26', 2325000)]",15000,1,1,1,1,0,1,0
90049,439 S Bundy Dr,SINGLE_FAMILY,1925,650.3295470759999,185.806,3,3.0,1.0,"['Tile', 'Wood', 'Mixed']",['Central'],['Central'],1,2219900.0,2962400.0,9597.0,"[('2023-09-14', 2830000), ('2016-01-22', 1951000), ('2012-11-14', 1539000), ('2009-12-15', 865000)]",13000,2,1,1,1,0,0,1
91604,4144 Colfax Ave,SINGLE_FAMILY,1988,627.1881529999999,268.861282,4,6.0,6.2,['Carpet'],['Central'],['Central'],0,928892.0,2089900.0,13112.0,[],9000,2,1,1,1,0,0,1
91356,4172 Ellenita Ave,SINGLE_FAMILY,1968,2028.5396717171718,282.51802299999997,5,3.0,2.0,[],['Other'],['Central'],0,1778000.0,1956800.0,11442.0,"[('2022-09-23', 319000), ('2010-04-23', 815000), ('2000-06-09', 576000), ('1997-07-02', 410000)]",7500,1,1,1,0,0,0,0
90272,1798 Palisades Dr,TOWNHOUSE,1978,26385.508619375578,184.226649,3,3.0,1.2,['Tile'],['Forced Air'],['Central'],0,1451357.0,1279800.0,6251.0,"[('2023-01-13', 7400), ('2020-09-30', 1395000), ('1997-05-06', 434545)]",7400,2,1,1,1,0,1,1
90291,691 Mildred Ave APT 1,SINGLE_FAMILY,2000,490.434937,219.25108,3,3.0,1.2,"['Tile', 'Wood']",['Forced Air'],['Central'],0,1237452.0,1936800.0,10638.0,"[('2011-07-27', 1025000), ('2001-08-28', 594000)]",9000,4,1,1,1,0,0,1
90044,948 W 61st St,MULTI_FAMILY,2008,483.281406,78.410132,2,1.0,1.0,[],[],[],0,909309.0,44900.0,2585.0,"[('2007-12-28', 260000), ('2007-10-18', 327818), ('2006-09-07', 385000), ('2002-07-31', 163000), ('1996-09-06', 122000), ('1996-07-15', 63000), ('1996-03-25', 75000)]",44500,0,0,0,0,0,0,0
91307,7308 Elmsbury Ln,SINGLE_FAMILY,1987,696.958306,229.563313,4,3.0,1.2,"['Stone', 'Tile', 'Wood']",['Central'],"['Central', 'Wall']",1,1244400.0,1331300.0,4999.0,"[('2021-09-23', 1220000)]",8300,3,1,1,1,0,0,1
91352,10159 Colwell Dr,SINGLE_FAMILY,1943,535.957407,107.210062,3,1.0,1.0,"['Carpet', 'Vinyl', 'Wood']",['Floor Furnace'],['None'],0,719100.0,126300.0,4140.0,"[('2021-07-21', 705000)]",124000,2,0,1,0,0,0,1
91343,8320 Noble Ave,SINGLE_FAMILY,1954,712.473107,113.155854,3,2.0,3.0,[],['Other'],[],0,258587.0,589400.0,3699.0,"[('2011-05-23', 210000), ('1998-05-22', 95000)]",75000,1,0,1,0,0,0,0
90062,1638 W 51st St,SINGLE_FAMILY,1913,485.603981,92.903,2,1.0,3.6,[],['Wall'],[],0,248547.0,401600.0,3051.0,"[('2012-09-12', 81000), ('2006-02-16', 400000), ('2004-08-03', 295000)]",99000,0,0,1,0,0,0,0
91605,8250 Lankershim Blvd,MANUFACTURED,1990,111.4836,69.67725,2,2.0,1.0,['Laminate'],['Radiant'],['Whole House Fan'],0,17860.0,135600.0,505.0,[],135000,0,1,1,0,0,1,1
91304,8811 Canoga Ave SPACE 535,MANUFACTURED,1971,82058.18022000001,124.861632,2,2.0,1.0,[],['Central'],['Central'],0,266391.2,87000.0,330.0,[],85000,1,1,1,0,0,0,1
91406,7650 Balboa Blvd SPACE 126,MANUFACTURED,1981,74.3224,74.3224,3,1.0,1.0,[],['Central'],['Wall'],0,9010.0,141900.0,539.0,[],139000,0,1,1,0,0,0,0
90059,11114 Evers Ave,SINGLE_FAMILY,1992,296.825085,127.555819,3,2.5,3.0,[],['Wall'],[],0,355023.0,597000.0,3484.0,"[('2004-09-21', 265000), ('2004-04-01', 204000), ('1999-10-20', 128000), ('1999-05-21', 90000), ('1999-02-16', 114782), ('1998-07-30', 114782), ('1997-05-01', 135000)]",120449,0,0,1,0,0,0,0
91304,24303 Woolsey Cyn #127,MANUFACTURED,1979,269.4187,107.024256,3,2.0,1.0,['Wood'],"['Electric', 'Central']",[],0,162138.2,138500.0,526.0,[],136000,2,1,1,0,0,1,1
90026,1483 N Occidental Blvd,SINGLE_FAMILY,1950,503.627163,82.776573,1,1.0,1.0,[],['Other'],[],0,534544.0,100900.0,3669.0,"[('2003-01-21', 384000), ('1999-10-06', 221500)]",100000,0,0,1,0,0,0,0
91342,15445 Cobalt St #156,MANUFACTURED,1971,325.1605,96.61912,3,2.0,1.0,['Laminate'],['Central'],['Central'],0,547182.6,242000.0,968.0,[],240000,2,1,1,0,0,0,0
90034,10521 National Blvd APT 110,CONDO,1976,2514.9804191919193,57.414054,1,1.0,1.2,[],[],[],0,185431.0,343300.0,2998.0,[],220000,0,0,0,0,0,0,0
90048,141 S Clark Dr APT 320,MULTI_FAMILY,1973,3738.0500220385675,68.74822,1,1.0,1.0,['Wood'],['Other'],['Central'],0,433451.0,230400.0,3183.0,"[('2016-01-19', 578450), ('2010-08-18', 352000), ('2007-07-06', 526000)]",225000,0,1,1,0,0,0,0
90710,1501 Palos Verses Drnorth #41,MANUFACTURED,2004,139.3545,127.091304,3,2.0,1.0,['Laminate'],['Central'],['Central'],0,478790.0,224200.0,852.0,[],220000,2,1,1,0,0,0,0
90059,918 E 112th St,SINGLE_FAMILY,1947,360.277834,72.835952,2,1.0,1.0,[],[],['None'],0,426876.0,235900.0,2600.0,"[('2005-09-22', 325000), ('2004-10-25', 227000), ('2000-07-24', 100000), ('1998-11-20', 73000)]",230000,2,0,0,0,0,0,1
90016,2125 S Orange Dr,SINGLE_FAMILY,1924,557.510903,139.540306,3,3.0,1.0,[],['Other'],[],0,58143.0,796200.0,4815.0,[],240000,1,0,1,0,0,0,0
90059,1649 E 109th St,SINGLE_FAMILY,1935,750.563337,94.389448,3,1.0,1.4,[],['Wall'],[],0,371836.0,203500.0,3200.0,"[('2017-11-08', 142000), ('2001-09-28', 130000), ('2001-04-25', 86000), ('2000-12-21', 141174), ('2000-08-28', 141174), ('2000-05-12', 1000), ('1998-12-18', 125000), ('1998-04-13', 59000), ('1997-12-15', 112412), ('1997-07-11', 55000)]",200000,0,0,1,0,0,0,0
91316,5460 White Oak Ave UNIT J106,CONDO,1971,37758.822543999995,91.97397,2,2.0,3.0,['Laminate'],['Central'],['Central'],0,329670.0,212800.0,2498.0,"[('2014-02-04', 259000), ('2013-04-26', 190500), ('2001-11-28', 136000)]",210000,4,1,1,0,0,1,1
91316,5460 White Oak Ave UNIT D201,CONDO,1971,37758.822543999995,63.452749,1,1.0,1.2,"['Carpet', 'Mixed', 'Other']",['Central'],['Central'],0,119439.0,214800.0,2100.0,[],210000,1,1,1,0,0,0,1
90002,10372 Beach St,SINGLE_FAMILY,1970,488.112362,120.7739,4,2.0,1.0,['Tile'],['Forced Air'],[],0,103661.0,523200.0,3690.0,[],183000,0,0,1,0,0,0,0
90042,5507 Via Marisol,TOWNHOUSE,2006,1816.9063595041323,162.58025,3,3.0,1.0,"['Carpet', 'Tile']",[],[],0,530738.0,797400.0,4529.0,"[('2018-10-23', 495000)]",191000,2,0,0,0,0,0,1
90017,630 W 6th St APT 609,APARTMENT,1962,2471.873370523416,63.17404,1,1.0,1.4,[],['Forced Air'],['Other'],0,270903.0,387500.0,2250.0,"[('2011-04-18', 220000)]",208000,0,1,1,0,0,0,0
91607,12801 Miranda St,SINGLE_FAMILY,1953,602.568858,124.304214,3,2.0,1.2,[],['Other'],[],0,685738.0,612100.0,4997.0,[],190000,1,0,1,0,0,0,0
91352,10749 New Haven St UNIT 1,CONDO,1965,2913.534813131313,64.195973,1,1.0,2.0,[],[],['Wall'],0,119323.0,246100.0,2100.0,[],245000,1,1,0,0,0,0,1
91316,5460 White Oak Ave UNIT A313,CONDO,1971,37747.09594031222,66.146936,1,1.0,1.2,[],['Other'],['Central'],0,114752.0,242000.0,2094.0,"[('2009-07-28', 92500), ('2006-12-29', 270000), ('2005-03-29', 248000), ('2000-05-01', 74500)]",235000,0,1,1,0,0,0,0
91364,4201 Topanga Canyon Blvd SPACE 43,MANUFACTURED,1980,102.1933,79.89658,2,2.0,1.0,['Mixed'],['Central'],['Central'],0,46443.0,215400.0,818.0,"[('2023-03-31', 139000)]",210000,2,1,1,0,0,0,1
91304,24425 Woolsey Canyon Rd SPACE 34,MANUFACTURED,1980,153218.571146,134.70935,2,2.0,1.0,['Laminate'],['Central'],['Central'],0,35867.0,158700.0,697.0,[],157000,2,1,1,0,0,1,0
91356,5445 Sylvia Ave,SINGLE_FAMILY,2006,647.998425,303.235392,5,4.0,1.0,['Wood'],['Other'],['Central'],0,1395992.0,226500.0,7800.0,"[('2017-11-22', 1249000), ('2017-01-04', 875000), ('2004-08-09', 585000), ('2000-09-08', 250000)]",223500,4,1,1,0,0,0,0
90016,2721 S Palm Grove Ave,SINGLE_FAMILY,1925,483.0956,118.91584,2,2.0,1.4,[],['Wall'],[],0,735823.0,702300.0,3679.0,"[('2002-01-14', 175000), ('2000-12-22', 115000)]",209678,1,0,1,0,0,0,0
90032,3918 Portola Ave,SINGLE_FAMILY,1908,613.1598,87.700432,2,1.0,1.0,[],['Wall'],[],0,296531.0,,2999.0,"[('1999-09-28', 113000)]",165100,1,0,1,0,0,0,0
